XN Date,Cheque No,Narration,Debits,Credits,Balance,Sub Category
12-07-2022,TRANSFER FROM 3199304142738,by transferneftrrsbin422193236419(12-07-22)returned,,1,200367.54,NEFT BOUNCE
15-06-2022,,ecsrtnchgs140622_sr835263374,194.78,,0.01,ECS BOUNCED CHARGES
20-06-2022,BANK CHARGES,ecsrtnchgs140622_sr835263374gst  0,395.2,,1731.8,ECS BOUNCED CHARGES
09-09-2022,,ecsrtnchgs050922_sr851975665,590,,653.86,ECS BOUNCED CHARGES
14-07-2022, TBMS-993742969 , remchrgs:ecsreturnon02-jun-2022bajajfinance,454.9,,1657.31,ECS BOUNCED CHARGES
20-09-2022,,ecsrtnchgs080922_sr852744765,590,,670.39,ECS BOUNCED CHARGES
07-09-2022,,ecsrtnchgs040922_sr851841384,590,,5620.55,ECS BOUNCED CHARGES
21-07-2022,,ecsrtnchgs200722_sr842796767  0,590,,1841,ECS BOUNCED CHARGES
24-08-2022,,ecsrtnchgs200822_sr849174807,1.38,,0.01,ECS BOUNCED CHARGES
25-08-2022,BANK CHARGES,ecsrtnchgs200822_sr849174807gst  0,0.91,,0,ECS BOUNCED CHARGES
05-09-2022,BANK CHARGES,ecsrtnchgs250822_sr849990174gst,6.99,,0.01,ECS BOUNCED CHARGES
05-09-2022,BANK CHARGES,ecsrtnchg01_250822_sr849990174gst  0,0.01,,0,ECS BOUNCED CHARGES
10-09-2022,BANK CHARGES,ecsrtnchg01_250822_sr849990174gst,1.99,,0.01,ECS BOUNCED CHARGES
10-09-2022,BANK CHARGES,ecsrtnchgs250822_sr849990174gst  0,0.01,,0,ECS BOUNCED CHARGES
22-09-2022,,ecsrtnchgs110922_sr854861255  0,95.93,,0,ECS BOUNCED CHARGES
05-07-2022,,ecsrtnchgs020722_sr839081705,590,,28682.93,ECS BOUNCED CHARGES
07-05-2022,,ecsrtnchgs060522_sr828015652,590,,1469.65,ECS BOUNCED CHARGES
08-06-2022,BANK CHARGES,ecsrtnchgs622_sr833517046gst  0,0.02,,0,ECS BOUNCED CHARGES
14-06-2022,,ecsrtnchgs100622_sr834870800,1.8,,0.02,ECS BOUNCED CHARGES
15-06-2022,BANK CHARGES,ecsrtnchgs100622_sr834870gst  0,0.02,,0,ECS BOUNCED CHARGES
05-07-2022,,ecsrtnchgs020722_sr839081705  0,590,,3272,ECS BOUNCED CHARGES
05-08-2022,,ecsrtnchgs020822_sr846065101,0.99,,0.01,ECS BOUNCED CHARGES
10-08-2022,,ecsrtnchg01_822_sr846643015  0,0.01,,0,ECS BOUNCED CHARGES
10-08-2022,,ecsrtnchgs050822_sr846643015  0,590,,1710,ECS BOUNCED CHARGES
26-08-2022,BANK CHARGES,ecsrtnchgs822_sr846065101gst  0,0.5,,0,ECS BOUNCED CHARGES
20-09-2022,BANK CHARGES,ecsrtnchgs050722_sr839588154gst  0,590,,14985,ECS BOUNCED CHARGES
